"ui_resources";"1.0";;;;;;;;;;;;;;;;;
# version : 6.0.0
"object_id";"text:is_adult";"text[eng]:label";"text[fre]:label";"text[dut]:label";"text[ger-CHE]:label";"text[fre-CHE]:label";"text[ita-CHE]:label";"text[ger-DEU]:label";"text[tur]:label";"text[eng-IRL]:label";"text[ger.AUT]:label";"text[nno]:label";"text[swe]:label";"text[hun]:label";"text[pol]:label";"text[cze]:label";"text[slo]:label";"text[rum]:label"
"programme_genre/DVB/1.7";;"DRAMA";"DRAME";"DRAMA";"DRAMA";"DRAME";"DRAMMATICO";"DRAMA";"DRAM";"DRAMA";"DRAMA";"drama";"drama";"Dráma";"dramat";"Drama";"Dráma";"drama"
"programme_genre/DVB/1.8";"X";"ADULT";"EROTIQUE";"EROTIEK";"EROTIK";"EROTIQUE";"EROTICO";"EROTIK";"EROTİK";"ADULT";"EROTIK";"erotikk";"erotik";"Erotika";"erotyka";"Erotika";"Erotika";"adult"
"programme_genre/DVB/1.9";;"ACTION";"ACTIE";"ACTIE";"ACTION";"AZIONE";"ACTION";"ACTION";"AKSİYON";"ACTION";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/1.10";;"FAMILY";;"FAMILIE";"FAMILIE";"FAMILLE";"FAMIGLIA";"FAMILIE";"AİLE";"FAMILY";;" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/1.11";;"WESTERN";"WESTERN";"WESTERN";"WESTERN";"WESTERN";"WESTERN";"WESTERN";"WESTERN";"WESTERN";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/1.12";;"HISTORICAL";"HISTORISCH";"HISTORISCH";"HISTOIRE";"STORICO";"GESCHICHTE";"HISTOIRE";"TARİHİ";"HISTORICAL";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/1.13";;"HORROR";"HORROR";"HORROR";"HORREUR";"HORROR";"HORROR";"HORREUR";"KORKU";"HORROR";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/1.14";;"WORLD CINEMA";"WORLD CINEMA";"WORLD CINEMA";"WELTKINO";"CINEMA DU MONDE";"CINEMA INTERNAZIONALE";"WELTKINO";"DÜNYA SİNEMASI";"WORLD CINEMA";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/1.15";;"MUSICAL";"MUSICAL";"MUSICAL";"COMÉDIE MUSICALE";"MUSICAL";"MUSICAL";"COMÉDIE MUSICALE";"MÜZİKAL";"MUSICAL";"MUSICAL";"musikal";"musikal";"Musical";"musical";"Muzikál";"Muzikál";"musical"
"programme_genre/DVB/2.0";;"NEWS";"INFORMATIONS ";"NIEUWS";"NACHRICHTEN ";"INFORMATIONS ";"NOTIZIE ";"NACHRICHTEN ";"HABERLER";"NEWS";"NACHRICHTEN ";"nyheter";"nyheter";"Hírek";"wiadomości";"Zprávy";"Správy";"stiri"
"programme_genre/DVB/2.1";;"WEATHER";"MÉTÉO";"WEER";"WETTER";"MÉTÉO";"METEO";"WETTER";"HAVA DURUMU";"WEATHER";"WETTER";"været";"väder";"Időjárás";"pogoda";"Zprávy/Počasí";"Správy/Pošasie";"meteo"
"programme_genre/DVB/2.2";;"NEWS MAGAZINE";"MAGAZINE D'INFOS";"ACTUALITEITEN";"MAGAZIN";"MAGAZINE D'INFOS";"RIVISTA";"MAGAZIN";"MAGAZİN HABERLERİ";"NEWS MAGAZINE";"MAGAZIN";"nyhetsmagasin";"nyhetsmagasin";"Hírmagazin";"program informacyjny";"Zpravodejství";"Spravodajstvo";"magazin de stiri"
"programme_genre/DVB/2.3";;"DOCUMENTARY";"DOCUMENTAIRES";"DOCUMENTAIRE";"DOKUMENTATION";"DOCUMENTAIRES";"DOCUMENTARIO";"DOKUMENTATION";"BELGESEL";"DOCUMENTARY";"DOKUMENTATION";"dokumentar";"dokumentär";"Ismeretterjesztő";"dokument";"Dokument";"Dokument";"documentar"
"programme_genre/DVB/2.4";;"DISCUSSION";"DÉBAT";"DISCUSSIE";"TALK";"DÉBAT";"TALK SHOW";"TALK";"TARTIŞMA";"DISCUSSION";"TALK";"debatt";"diskussion";"Vitaműsor";"debata";"Diskuse";"Diskusia";"talk-show"
